sample_id,bam_filename,sample_type
M1,/tau/data/chimerism/SRP434573/bam/SRR24309255.hg38.bam,HOST
F2,/tau/data/chimerism/SRP434573/bam/SRR24309258.hg38.bam,DONOR
1_199_F2-M1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309243.hg38.bam,ADMIX
1_99_F2-M1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309248.hg38.bam,ADMIX
1_79_F2-M1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309251.hg38.bam,ADMIX
1_39_F2-M1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309263.hg38.bam,ADMIX
1_19_F2-M1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309189.hg38.bam,ADMIX
1_9_F2-M1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309222.hg38.bam,ADMIX
