sample_id,bam_filename,sample_type
M4,/tau/data/chimerism/SRP434573/bam/SRR24309259.hg38.bam,HOST
M3,/tau/data/chimerism/SRP434573/bam/SRR24309260.hg38.bam,DONOR
1_99_M3-M4_v2,/tau/data/chimerism/SRP434573/bam/SRR24309158.hg38.bam,ADMIX
1_79_M3-M4_v2,/tau/data/chimerism/SRP434573/bam/SRR24309165.hg38.bam,ADMIX
1_39_M3-M4_v2,/tau/data/chimerism/SRP434573/bam/SRR24309173.hg38.bam,ADMIX
1_19_M3-M4_v2,/tau/data/chimerism/SRP434573/bam/SRR24309181.hg38.bam,ADMIX
1_9_M3-M4_v2,/tau/data/chimerism/SRP434573/bam/SRR24309188.hg38.bam,ADMIX
